,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
0,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,30,19,551.0,29.0,0.97,other,Yes,780.34,9.48,-223.5
1,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,180,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,4521.5,619.2275,-223.5
2,SCMS,ASN,1046,Direct Drop,FCA,Air,HIV+,other,other,100,500,40000.0,53.775000000000006,0.8,other,Yes,1653.78,619.2275,-223.5
3,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,31920,127360.8,3.99,0.07,other,Yes,16007.06,1.9,-223.5
4,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,17636.265,170.5,-223.5
5,SCMS,ASN,1161,Direct Drop,EXW,Air,Pediatric,other,Generic,180,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,5920.42,111.73,-223.5
6,SCMS,ASN,650,Direct Drop,DDU,Air,Pediatric,other,other,90,135,4374.0,32.4,0.36,other,Yes,0.0,498.91,-223.5
7,SCMS,ASN,512,Direct Drop,EXW,Air,Adult,other,Generic,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,6212.41,1.66,-223.5
8,SCMS,ASN,1161,Direct Drop,EXW,Air,Adult,other,Generic,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,3526.69,0.06,-223.5
9,SCMS,ASN,650,Direct Drop,CIP,Air,Adult,other,other,120,2800,115080.0,41.1,0.34,other,Yes,0.0,72.87,-223.5
10,SCMS,ASN,650,Direct Drop,CIP,Air,Adult,other,other,120,2800,115080.0,41.1,0.34,other,Yes,0.0,205.8,-223.5
11,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,20,2500,100000.0,40.0,1.09875,other,Yes,13569.49,122.45,-223.5
12,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,10,850.0,53.775000000000006,0.85,other,Yes,0.0,291.98,-223.5
13,SCMS,ASN,429,Direct Drop,EXW,Air,Adult,other,Generic,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,17636.265,4.82,-223.5
14,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,750,60000.0,53.775000000000006,0.8,other,Yes,1760.32,28.48,-223.5
15,SCMS,ASN,535,Direct Drop,CIP,Air,Pediatric,other,other,60,579,14764.5,25.5,0.42,other,Yes,0.0,619.2275,-223.5
16,SCMS,ASN,1161,Direct Drop,CIP,Air,HIV+,other,other,100,1500,120000.0,53.775000000000006,0.8,other,Yes,0.0,192.0,-223.5
17,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,30,2000,33000.0,16.5,0.55,other,Yes,3120.7,0.35,-223.5
18,SCMS,ASN,512,Direct Drop,CIP,Air,Pediatric,other,other,180,712,8964.08,12.59,0.06,other,Yes,912.96,5.07,-223.5
19,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,1000,80000.0,53.775000000000006,0.8,other,Yes,2682.47,128.0,-223.5
