,Unnamed: 0,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
5053,5259,SCMS,ASN,535,Direct Drop,EXW,Air,HIV+,other,other,100,8787,407198.31250000006,53.775000000000006,0.8,other,Yes,17636.265,619.2275,64.0
8,8,SCMS,ASN,1161,Direct Drop,EXW,Air,Adult,other,Generic,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,3526.69,0.06,-223.5
6544,6750,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,2160,11880.0,5.5,0.18,Mylan (formerly Matrix) Nashik,Yes,6009.47,19.6,179.0
7982,8188,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,3726,8271.72,2.22,0.04,Hetero Unit III Hyderabad IN,No,3526.69,11.6,197.0
2955,3161,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,252,3276.0,13.0,0.43,"Aurobindo Unit III, India",Yes,13320.8,7.06,144.0
9087,9293,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,1846,12183.6,6.6,0.11,Hetero Unit III Hyderabad IN,No,3526.69,12.52,302.0
7630,7836,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,11.15,0.37,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,178.0
9015,9221,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,1638,7698.6,4.7,0.16,other,No,3526.69,7.91,165.0
4564,4770,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,58,1068.21,18.42,0.61,"Aurobindo Unit III, India",No,0.0,1.32,121.0
2970,3176,SCMS,ASN,639,Direct Drop,EXW,Ocean,Adult,other,Generic,60,14520,99026.4,6.82,0.11,"Aurobindo Unit III, India",No,3526.69,122.5,207.0
1815,1914,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,35000,407198.31250000006,12.42,0.41,"Strides, Bangalore, India.",Yes,17636.265,619.2275,-223.5
5883,6089,SCMS,ASN,333,Direct Drop,EXW,Air,HIV+,other,other,20,89,2848.0,32.0,1.09875,other,No,3526.69,3.35,142.0
9289,9495,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,5000,41150.0,8.23,0.27,Mylan (formerly Matrix) Nashik,Yes,4911.39,67.9,224.0
1406,1446,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,180,4402,220100.0,50.0,0.28,other,Yes,3501.0,39.83,-223.5
669,670,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,100,60,10500.0,53.775000000000006,1.09875,other,Yes,859.37,277.62,-223.5
7602,7808,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,11.15,0.37,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,171.0
1051,1052,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3145,9560.8,3.04,0.05,"Aurobindo Unit III, India",Yes,2731.58,15.3,-223.5
8003,8209,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,36240,310939.2,8.58,0.14,"Aurobindo Unit III, India",Yes,17636.265,435.94,170.0
845,846,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,20,839,26848.0,32.0,1.09875,other,Yes,3146.63,52.62,-15.0
5835,6041,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,22,282.13,12.82,0.21,"Aurobindo Unit III, India",No,0.0,0.29,137.0
9777,9983,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,10500,26355.0,2.51,0.04,"Strides, Bangalore, India.",No,3526.69,43.49,99.0
8262,8468,SO,DN,535,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,277231.5,5.85,0.1,"Cipla, Goa, India",Yes,3833.17,543.37,440.0
